2019-12-02 22:20:24,827 - __main__ - INFO - Addestrato Admission_Predict_Ver1 standardizzando i dati con una SVC con uno score di 0.79 e iperparametri: C 0.2, gamma 0.1, kernel rbf, numero dimensioni 7
2019-12-02 22:20:37,234 - __main__ - INFO - Addestrato Admission_Predict_Ver1 standardizzando i dati con una SVC con uno score di 0.8 e iperparametri: C 0.2, gamma 0.1, kernel rbf, numero dimensioni 6
2019-12-02 22:40:17,014 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento
2019-12-02 22:43:01,080 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: lbfgs iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 3
2019-12-02 22:53:45,616 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: logistic solver: lbfgs iterazioni massime: 400 hidden_layer_sizes: (13, 13) e dimensione 7
2019-12-02 22:57:27,317 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: adam iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 3
2019-12-02 22:57:37,830 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: adam iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 5
2019-12-02 22:57:42,704 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: adam iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 2
2019-12-02 22:57:46,408 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: adam iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 1
2019-12-02 22:57:54,314 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: adam iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 2
2019-12-02 23:02:46,135 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: lbfgs iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 2
2019-12-02 23:02:53,104 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: lbfgs iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 2
2019-12-02 23:02:57,758 - __main__ - INFO - Addestrato Admission_Predict_Ver1 usando MLP come algoritmo di apprendimento con funzione di attivazione: relu solver: lbfgs iterazioni massime: 500 hidden_layer_sizes: (5, 5) e dimensione 2
